MatchID,Franchise,TimestampFrameNumber,AudioPeakScore,VisibleSponsorsDuringPeak
PBKS_vs_MI_Q2,PBKS,300.0,0.076024555,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,302.4,0.07676804,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,304.8,0.07649856,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,307.2,0.06727504,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,309.6,0.07617377,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,312.48,0.07649506,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,316.32,0.076906994,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,320.16,0.0760016,JIO
PBKS_vs_MI_Q2,PBKS,323.52,0.076702006,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,327.36,0.07389625,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,333.12,0.076919354,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,337.44,0.07659069,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,341.76,0.076919824,"DREAM 11, JIO"
PBKS_vs_MI_Q2,PBKS,344.16,0.07594976,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,346.56,0.07518914,"AVON CYCLES, DREAM 11, kshema"
PBKS_vs_MI_Q2,PBKS,352.32,0.07698348,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,356.16,0.076660655,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,360.96,0.076515965,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,363.36,0.07115623,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,365.76,0.076904014,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,368.64,0.07670181,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,372.96,0.076481074,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,376.8,0.06884594,BKT
PBKS_vs_MI_Q2,PBKS,381.12,0.07663191,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,385.92,0.07402836,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,389.28,0.074656546,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,392.64,0.07987438,DREAM 11
PBKS_vs_MI_Q2,PBKS,396.96,0.076909244,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,399.84,0.076880366,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,403.2,0.07662387,DREAM 11
PBKS_vs_MI_Q2,PBKS,407.04,0.076316595,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,411.84,0.07661683,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,414.24,0.07648382,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,417.6,0.12922016,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,420.0,0.07231637,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,423.36,0.12706624,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,425.76,0.07639199,DREAM 11
PBKS_vs_MI_Q2,PBKS,428.64,0.07659687,DREAM 11
PBKS_vs_MI_Q2,PBKS,432.96,0.07598516,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,436.8,0.07650818,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,439.2,0.0732687,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,443.52,0.0764437,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,445.92,0.074472435,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,450.72,0.076153785,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,453.6,0.076466545,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,457.44,0.07666008,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,461.28,0.07674995,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,464.16,0.07686374,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,467.04,0.071333446,"DREAM 11, JIO, KENT"
PBKS_vs_MI_Q2,PBKS,469.92,0.07667558,"ALL SEASONS, VALVOLINE"
PBKS_vs_MI_Q2,PBKS,474.24,0.07223341,DREAM 11
PBKS_vs_MI_Q2,PBKS,476.64,0.07684871,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,480.48,0.067281395,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,482.88,0.071984254,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,486.24,0.07430065,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,490.56,0.076802485,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,493.92,0.07645396,"DREAM 11, KENT"
PBKS_vs_MI_Q2,PBKS,497.76,0.07659394,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,501.6,0.07691452,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,504.0,0.060076617,NoSponsorDetected
PBKS_vs_MI_Q2,PBKS,506.88,0.07647008,NoSponsorDetected
